生活就是在你万事都很顺的时候 一定要有点不顺的 ​​​
尽量找那种看的惯你闲的人当伴侣ta允许你过得舒服。并且不会看不惯，不会觉得你懒，更不会跟你扯什么平等付出到底和什么样的人在一起会觉得幸福，有些时候和钱没有太大关系，这些虽然重要但归根结底只是外在条件《但其实对于真正的幸福而言，你需要的其实并不是所谓的条件，而是被允许的资格。这 ​​​ ...展开
当你混到连个找你的人都没有，没人找你聚会、没人喊你喝茶，恭喜你，你不是人缘变差了，而是终于认清了自己，找回了从容和自在没人找，不是失败，而是远离低质量热闹的开始。孤独本就是常态，低质量的社交和攀关系，这些都不过都是等靠要，只是换了种形式，关键时候，你所谓的人脉解决不了任何问题 ​​​ ...展开
请尽早培养自己对事情悬而未决的耐受度。嗨，我是周周，一个努力向上成长的女号主。01.Luzhouzhou“《悬而未决”简单来说就是：不确定、无法控制和预料。》对于不确定、无法控制的事情。人们更喜欢的是确定、可以控制的事情。确定、可以控制、预料，会让人有一种安全感。《可一旦事情悬而未决 ​​​ ...展开
找伴侣一定要找看得惯你闲的人！阅人间烟火气 暖城中故人心不管是谈恋爱还是结婚，都尽量去找那种，看得惯你闲的人当你的伴侣。就是即使你每天什么都不做，过得很舒服，他也不会看你不顺眼、觉得你懒，更不会觉得自己吃亏了，和你大谈平等付出。接受得住你“闲”的人，往往才是能给你长久舒适感的 ​​​ ...展开
我不是冷淡，我只是选择收起了热情。“到了一定年纪，是往回收的，收到最后，活成自己想要的样子。” 人是会慢慢变淡的。 以前我总是交浅言深， 一旦和我聊得来， 我恨不得把美好的事物塞给人家， 对有好感的人，委屈自己也要有求必应。 我以为人与人之间可以用真心真心， 但见过了形形色色 ​​​ ...展开
男人的真爱一定诞生于博弈不存在美好的桃花源。《不存在没有博弈就能生长出的真爱。》对于男人而言，尤其是谈过一段感情之后的男人，在刚认识下一个女生的时候，内心一定是不会很快上头的。因为他的内心还带着其他的蠢蠢欲动、对其他暧昧异性的心动和喜欢、对和上一任深刻情感的多多少少的留恋。 ​​​ ...展开
在男女关系里永远占据高位的诀窍在两个人相处的过程中，一定会存在一个阶段，叫做博弈。在某个阶段内，关系从刚开始，到达到平衡，中间的这段过程就是需要两个人去来回拉扯、来回在对方底线上疯狂摩擦的。而且双方的关系想要深入到一定地步，是一定需要经历博弈这个过程的。之前也写过，男人的真爱 ​​​ ...展开
一个颠覆你认知的操作：狂热付出然后甩了你全网的女人们都在关注如何让男人给自己付出。我写文的时候都明显发现写跟自我认知相关的都没人看，必须得写跟男人花钱相关的阅读量才高，嗐。话说现在男人也没啥钱啊，以为还是古早电视剧《蜗居》里的宋思明和海藻的戏码了吗？说句实话，现在很多身处高位 ​​​ ...展开
男人真心喜欢你的表现一个男人是不是真的喜欢你， 要看他上头期过后对待你的态度。  如果上头期已经过了， 他还是愿意好好对待你，听你的话， 有什么要求愿意满足你， 也会让渡利益给你，只是为了让你开心。 那么他就是真的爱你了。  男人真爱你的表现就是看到你开心， 他就心满意足，也开 ​​​ ...展开
一个人“活明白”的开始，是懂得人有三次成长的本质《穿越三次成长，构成一个人心理韧性、自我定位与幸福能力的基石。》我们先来探讨下“活明白”。这是一个动词，是一个过程，是一个诸相不同的绽放。但从共性内核上，我们尝试探寻这三个字的要义。人活此世，越早思索存亡就越早意识到无常，开局 ​​​ ...展开
在抑郁这摊泥里，能救你的只有那点人味儿中年人的崩溃，从来都是静悄悄的。 不敢发朋友圈，怕亲人担心，怕同事看笑话，更怕竞争对手趁机捅刀子。只能在深夜找一个安全的人，小心翼翼地揭开生活的假面。这让我想起前几天茶室里一位茶友，42岁的中层管理者。他在会议室里侃侃而谈，回家车库却要独自坐 ​​​ ...展开
疏离的关系，才能长长久久01浓烈、粘稠、共生，就会耗能两个女生如果太浓烈、太形影不离，就很容易发展成类似虐恋的心理模式，互相有很强的占有欲。这不仅限于闺蜜，如果你和贵人之间的关系太浓太深了，你们是互相的唯一，在彼此的心中享有特权，“很多事情你要先告诉我，很多机会你要先考虑我 ​​​ ...展开
